wavelength (nm),radiance (W/m^2/sr/nm),uncertainty (W/m^2/sr/nm)
240.02,572.6654411764710,5.656029423013240
315.02,9267.042647058820,32.702940242254400
389.76,17233.29411764710,37.78823541806030
464.54,30339.44117647060,34.804411424213200
539.52,27870.779411764700,17.23970533074710
615.46,24783.54411764710,15.064705889123500
688.23,21366.088235294100,14.003823333254400
764.53,17843.941176470600,8.984705987933820
840.03,14949.500000000000,13.372499619007400
915.43,12871.151470588200,35.19264625056620
990.82,11074.554411764700,3.676470762857350
1066.21,9459.072058823530,3.676470762857350
1140.16,8210.939705882350,3.676470762857350
1216.23,7132.016176470590,3.676470762857350
1287.72,6279.717647058820,3.676470762857350
1364.64,5552.911764705880,3.676470762857350
1440.76,4873.7602941176500,3.676470762857350
1515.54,4350.586764705880,3.676470762857350
1588.65,3775.0926470588200,3.676470762857350
1663.31,3347.722058823530,7.8110298251397100
1738.86,2874.5882352941200,5.545000021810300
1812.08,2483.876470588240,7.783676504485290
1883.0,2181.605882352940,6.1888234032426500
1965.19,1872.5279411764700,4.428235115482350
2031.38,1696.2367647058800,5.292353093595590
2108.19,1482.835294117650,3.6639706676764700
2182.34,1313.9975,4.540441081830880
2265.68,1135.6833823529400,6.592353148494120
2334.63,1014.1507352941200,4.2141178068147100